time,open,high,low,close,tick_volume,spread,real_volume,SMA_3,SMA_10,EMA_10,EMA_25,RSI,MACD,Signal,Upper_Band,Lower_Band,ATR,Stochastic,ADX,HA_Close,HA_Open,HA_High,HA_Low
2021-06-07,1890.19,1900.13,1881.57,1898.78,104532,0,0,1886.9966666666667,1897.143,1890.572447185572,1864.3858665592954,62.59230555736487,26.18658062627651,30.595558952252144,1930.564921310163,1823.4990786898368,24.057342955396287,72.33877233877237,41.44404228765335,1892.6675,1881.42,1900.13,1881.42
2021-06-08,1899.1,1903.67,1883.84,1893.06,105052,0,0,1894.45,1896.5309999999997,1891.024729515468,1866.5915691316573,59.797864473303754,24.433160383810673,29.36307923856385,1930.4590136721058,1829.2309863278942,23.634608659856674,61.493123772102145,39.260780987696656,1894.9175,1894.4850000000001,1903.67,1883.84
2021-06-09,1891.72,1898.95,1887.33,1888.89,97129,0,0,1893.5766666666666,1895.7699999999998,1890.6365968762918,1868.3068330446067,57.747478502010004,22.329763831685113,27.9564161571881,1924.8692806683744,1842.0987193316255,22.43314779387102,54.666011787819485,37.233466923451154,1891.7225,1896.08,1898.95,1887.33
2021-06-10,1888.89,1899.86,1869.84,1899.64,126781,0,0,1893.8633333333335,1896.0910000000003,1892.2735792624205,1870.71707665656,61.46353876804517,21.556502605860487,26.67643344692258,1919.8671151650792,1854.3718848349208,23.191833014483915,72.26588081205001,34.93589829027325,1889.5575000000001,1890.305,1899.86,1869.84
2021-06-11,1898.15,1903.03,1874.44,1876.16,118817,0,0,1888.2300000000002,1893.3890000000004,1889.343837578344,1871.1357630675939,50.81479282609712,18.208074510750066,24.98276165968808,1915.0298072608791,1862.5691927391206,23.731649713035516,33.82449246889343,32.5975268929654,1887.9450000000002,1894.265,1903.03,1874.44
2021-06-14,1876.07,1877.62,1844.77,1866.31,118581,0,0,1880.7033333333331,1889.3579999999997,1885.155867109554,1870.764550523933,47.08177207615909,14.391316585621098,22.864472644874684,1915.0705831366636,1862.4944168633365,24.643484741731957,29.995822308870604,31.933858939244708,1866.1924999999997,1887.1550000000002,1887.1550000000002,1844.77
2021-06-15,1867.53,1869.16,1851.65,1858.89,94645,0,0,1867.1200000000001,1885.2599999999998,1880.3802549078168,1869.8511235605536,44.401236677964455,10.529131347263274,20.397404385352406,1916.4466478241989,1860.0433521758014,23.93013626755876,19.662999582231066,31.317595839361207,1861.8075000000001,1871.19,1871.19,1851.65
2021-06-16,1859.13,1862.91,1803.33,1810.21,112002,0,0,1845.1366666666665,1875.4150000000002,1867.6220267427593,1865.2633448251265,31.546668889964906,2.3586819176327936,16.789659891808483,1928.9722649337884,1841.5237350662117,27.4951226408029,6.075055187638066,32.33175275257205,1833.895,1863.21,1863.21,1803.33
2021-06-17,1813.54,1825.33,1767.3,1772.78,186319,0,0,1813.96,1865.623,1850.3780218804393,1858.14924137704,25.382727297950638,-7.771219496600679,11.877484014126651,1945.7475862976717,1814.2984137023282,30.548610376722603,3.6709539121114814,34.00771882298363,1794.7375,1834.67,1834.67,1767.3
2021-06-18,1775.49,1797.14,1760.91,1764.52,136136,0,0,1782.5033333333333,1852.9240000000002,1834.767472447632,1850.9469920403449,24.242400300140915,-16.17951959271295,6.266083292758731,1956.9262129425517,1791.3977870574479,31.116749339050347,2.3190081582834865,35.673794764851046,1774.5149999999999,1793.1599999999999,1797.14,1760.91
2021-06-21,1768.64,1786.61,1766.4,1783.25,142895,0,0,1773.5166666666667,1841.3709999999999,1825.400659275335,1845.7395311141645,31.8194151104873,-20.33887183882939,0.9450922664411072,1960.8885651072276,1777.6254348927725,30.214074405145304,15.020506958918789,37.220865282299364,1776.225,1770.005,1786.61,1766.4
2021-06-22,1784.05,1790.09,1772.44,1778.63,126279,0,0,1775.466666666667,1829.9280000000003,1816.896903043456,1840.5772594899981,30.985497467419208,-23.68035644654219,-3.9799974761555528,1961.7921406860128,1764.6668593139875,28.95766696463076,11.91420695219527,38.415857313220386,1781.3025,1775.9450000000002,1790.09,1772.44
2021-06-23,1779.76,1794.95,1773.33,1778.4,104888,0,0,1780.0933333333332,1818.8790000000001,1809.8974661264638,1835.794393375383,30.9414575840962,-25.896927248919155,-8.363383430708273,1961.2135832522843,1753.435416747716,28.2239002681677,12.251330905015418,39.18111497154177,1781.6100000000001,1781.3400000000001,1794.95,1773.33
2021-06-24,1778.61,1787.97,1772.85,1774.96,110374,0,0,1777.33,1806.411,1803.5451995580158,1831.1148246541998,30.240177997611866,-27.569625096183927,-12.204631763803405,1959.4005545806826,1743.1014454193178,26.913510241350945,9.841692350798512,39.903774639107596,1778.5975,1779.08,1787.97,1772.85
2021-06-25,1776.26,1790.34,1773.7,1781.11,94761,0,0,1778.1566666666665,1796.9060000000002,1799.466072365649,1827.2682996807998,33.19326283795692,-27.80222731515073,-15.32415087407287,1954.655230663182,1735.6397693368185,25.886159217215834,14.149621742784968,40.38982678581106,1780.3525,1776.7849999999999,1790.34,1773.7
